City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,21.6,58,56,5.12,AU,1699842054
1,carnarvon,-24.8667,113.6333,23.19,66,27,4.52,AU,1699842059
2,chebba,35.2372,11.115,18.84,76,9,6.33,TN,1699842182
3,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,74,40,12.52,RU,1699842067
4,george town,5.4112,100.3354,31.64,75,20,1.54,MY,1699842044
5,timmins,48.4669,-81.3331,0.9,86,100,6.17,CA,1699842027
6,port-aux-francais,-49.35,70.2167,4.34,76,100,1.92,TF,1699841676
7,kutum,14.2,24.6667,22.71,33,39,3.39,SD,1699842182
8,natal,-5.795,-35.2094,25.12,78,20,4.12,BR,1699841695
9,fortaleza,-3.7227,-38.5247,28.93,70,20,4.63,BR,1699842071
10,ushuaia,-54.8,-68.3,9.81,53,75,3.6,AR,1699841918
11,saudarkrokur,65.7461,-19.6394,-0.71,68,98,2.91,IS,1699842183
12,puerto ayacucho,5.6639,-67.6236,25.71,88,73,1.57,VE,1699842183
13,lukolela,-1.0605,17.1821,21.34,98,100,0.53,CD,1699842183
14,hithadhoo,-0.6,73.0833,27.14,78,95,2.98,MV,1699842183
15,albany,42.6001,-73.9662,-1.26,79,0,1.36,US,1699842134
16,georgetown,5.4112,100.3354,31.64,75,20,1.54,MY,1699842014
17,hermanus,-34.4187,19.2345,14.05,87,4,4.31,ZA,1699842045
18,chebarkul',54.9749,60.3633,1.42,88,100,1.69,RU,1699842107
19,colonia,50.9333,6.95,7.64,88,40,4.63,DE,1699842044
20,lluta,-16.0147,-72.0142,13.11,60,100,0.99,PE,1699842184
21,weno,7.4515,151.8468,28.97,84,75,2.57,FM,1699842185
22,adamstown,-25.066,-130.1015,22.8,85,100,8.73,PN,1699842036
23,kapuskasing,49.4169,-82.4331,1.05,100,100,6.69,CA,1699842185
24,alta,69.9689,23.2717,-5.41,63,76,4.63,NO,1699842185
25,ipatovo,45.7181,42.9036,11.49,67,100,3.85,RU,1699842185
26,yellowknife,62.456,-114.3525,-7.55,96,75,7.72,CA,1699842140
27,thinadhoo,0.5333,72.9333,26.67,78,100,1.75,MV,1699842104
28,blackmans bay,-43.0167,147.3167,19.74,40,3,1.37,AU,1699842185
29,punta arenas,-53.15,-70.9167,9.06,66,75,5.66,CL,1699842186
30,grytviken,-54.2811,-36.5092,2.86,90,100,2.04,GS,1699842042
31,sitka,57.0531,-135.33,3.94,75,0,2.57,US,1699842031
32,vilyuysk,63.7553,121.6247,-20.9,98,64,1.75,RU,1699842186
33,talnakh,69.4865,88.3972,-2.66,97,100,3.9,RU,1699842038
34,hasaki,35.7333,140.8333,12.22,70,100,9.83,JP,1699842186
35,whitehorse,60.7161,-135.0538,-2.57,80,100,3.6,CA,1699841904
36,xianning,29.8833,114.2167,8.87,70,100,1.97,CN,1699842186
37,ust-nera,64.5667,143.2,-23.1,99,100,1.43,RU,1699841962
38,edinburgh of the seven seas,-37.0676,-12.3116,14.24,81,28,9.81,SH,1699841840
39,ribeira grande,38.5167,-28.7,18.21,83,100,4.92,PT,1699842036
40,vilyuchinsk,52.9306,158.4028,0.15,66,57,3.75,RU,1699842187
41,maun,-19.9833,23.4167,26.53,26,45,2.29,BW,1699842150
42,port elizabeth,-33.918,25.5701,16.16,78,0,4.12,ZA,1699842187
43,papatowai,-46.5619,169.4708,11.73,97,100,2.71,NZ,1699842187
44,yei,4.095,30.6779,19.25,93,17,1.34,SS,1699842187
45,callao,-12.0667,-77.15,20.95,77,100,7.2,PE,1699842103
46,ulsteinvik,62.3432,5.8487,2.95,75,0,3.58,NO,1699842187
47,stanley,54.868,-1.6985,6.51,93,75,2.57,GB,1699842009
48,vorgashor,67.5833,63.95,-11.15,98,89,3.04,RU,1699842188
49,waitangi,-43.9535,-176.5597,12.66,89,100,8.42,NZ,1699842038
50,oranjemund,-28.55,16.4333,14.13,86,0,6.98,NA,1699842188
51,hrebinka,50.1171,32.4361,6.8,73,100,6.77,UA,1699842188
52,kununurra,-15.7667,128.7333,34.99,49,8,3.6,AU,1699842155
53,longyearbyen,78.2186,15.6401,-6.09,79,75,9.77,SJ,1699842188
54,bethel,41.3712,-73.414,1.94,74,0,0.0,US,1699842039
55,andorra,42.5,1.5,12.34,83,58,0.45,AD,1699842189
56,mabaruma,8.2,-59.7833,24.2,93,29,1.28,GY,1699842189
57,cheongsong gun,36.4335,129.057,4.06,30,0,4.63,KR,1699842189
58,lebu,-37.6167,-73.65,8.7,69,0,6.27,CL,1699842190
59,saint-pierre,-21.3393,55.4781,20.82,60,0,4.63,RE,1699842190
60,port mathurin,-19.6833,63.4167,25.06,78,0,2.16,MU,1699842190
61,puerto baquerizo moreno,-0.9,-89.6,23.68,83,95,5.72,EC,1699842054
62,yen vinh,18.6667,105.6667,25.56,84,70,3.19,VN,1699841951
63,chinchilla,-26.75,150.6333,31.92,30,0,1.68,AU,1699842190
64,keflavik,64.0049,-22.5624,4.24,65,0,7.2,IS,1699842190
65,berdigestyakh,62.0989,126.6992,-16.09,95,100,3.86,RU,1699842191
66,mariehamn,60.0973,19.9348,3.23,93,100,2.06,AX,1699842191
67,ilulissat,69.2167,-51.1,-11.99,61,28,0.0,GL,1699842041
68,sanming,26.2486,117.6186,15.11,85,100,1.86,CN,1699842191
69,sona,45.4388,10.8255,5.69,65,53,1.85,IT,1699842191
70,iqaluit,63.7506,-68.5145,-17.95,70,20,4.63,CA,1699842191
71,pontes e lacerda,-15.2261,-59.3353,28.38,56,82,1.48,BR,1699842188
72,taksimo,56.3444,114.8794,-11.29,64,17,0.18,RU,1699842192
73,horta,38.5333,-28.6333,17.79,84,100,6.71,PT,1699842108
74,tura,25.5198,90.2201,21.66,72,0,0.91,IN,1699842192
75,saint-philippe,-21.3585,55.7679,20.77,81,66,2.66,RE,1699842116
76,aykhal,66.0,111.5,-12.99,96,100,4.1,RU,1699842192
77,walvis bay,-22.9575,14.5053,14.53,88,6,3.6,NA,1699842192
78,tiksi,71.6872,128.8694,-17.36,91,87,6.28,RU,1699842028
79,douentza,14.9951,-2.9517,24.33,10,26,2.28,ML,1699842192
80,magadan,59.5667,150.8,-9.15,60,100,3.38,RU,1699842075
81,puerto natales,-51.7236,-72.4875,5.83,86,100,1.62,CL,1699842039
82,vorsma,55.9856,43.2717,7.91,83,52,8.94,RU,1699842193
83,holualoa,19.6228,-155.9522,25.91,79,40,4.63,US,1699842056
84,campbellton,48.0075,-66.6727,-1.75,83,9,2.45,CA,1699842193
85,angaur state,6.906,134.13,29.17,75,86,5.26,PW,1699841686
86,jamestown,42.097,-79.2353,2.8,74,0,2.57,US,1699842102
87,thompson,55.7435,-97.8558,-1.91,100,100,0.0,CA,1699842172
88,kalevala,65.2,31.1667,-4.95,93,100,3.58,RU,1699842193
89,zaozersk,69.4005,32.4476,-11.43,96,99,3.45,RU,1699842043
90,siasi,5.5462,120.8145,28.08,77,0,1.92,PH,1699842194
91,sakaiminato,35.55,133.2333,6.96,100,75,5.14,JP,1699842194
92,sodra sandby,56.5667,16.6167,3.83,91,62,4.05,SE,1699841694
93,kalaleh,37.3807,55.4916,12.78,76,0,0.0,IR,1699842194
94,nsanje,-16.92,35.262,23.37,58,0,1.8,MW,1699842195
95,remire-montjoly,4.9167,-52.2667,27.29,83,1,5.35,GF,1699842195
96,puerto varas,-41.3195,-72.9854,4.12,93,20,0.0,CL,1699842195
97,antsiranana,-12.2787,49.2917,24.58,80,24,5.88,MG,1699842060
98,awgu,6.0742,7.4786,23.77,95,100,1.59,NG,1699842195
99,udachny,66.4167,112.4,-13.08,92,100,3.37,RU,1699842037
100,iskateley,67.6803,53.1512,-11.66,94,43,2.24,RU,1699842022
101,monastyryshche,48.9909,29.8047,5.46,79,100,5.74,UA,1699842196
102,luang namtha,20.9497,101.4011,23.01,94,100,1.03,LA,1699842196
103,simanggang,1.2472,111.4528,28.99,84,20,1.54,MY,1699842196
104,kizel,59.0471,57.6477,1.8,100,100,1.34,RU,1699842177
105,afaahiti,-17.75,-149.2833,26.93,80,54,4.03,PF,1699842042
106,kannur,11.8675,75.3576,24.02,76,99,2.62,IN,1699842196
107,olonkinbyen,70.9221,-8.7187,-3.29,67,100,2.21,SJ,1699842197
